 #      wave           flux
       14900.000      0.99703404
       14900.030      0.99699218
       14900.060      0.99693575
       14900.090      0.99687157
       14900.120      0.99680313
       14900.150      0.99673185
       14900.180      0.99665809
       14900.210      0.99658170
       14900.240      0.99650233
       14900.270      0.99641958
       14900.300      0.99633301
       14900.330      0.99624214
       14900.360      0.99614643
       14900.390      0.99604515
       14900.420      0.99593732
       14900.450      0.99582177
       14900.480      0.99569716
       14900.510      0.99556212
       14900.540      0.99541524
       14900.570      0.99525511
       14900.600      0.99508030
       14900.630      0.99488938
       14900.660      0.99468086
       14900.690      0.99445310
       14900.720      0.99420414
       14900.750      0.99393125
       14900.780      0.99363038
       14900.810      0.99329594
       14900.840      0.99292084
       14900.870      0.99249642
       14900.900      0.99201200
       14900.930      0.99145440
       14900.960      0.99080640
       14900.990      0.99004478
       14901.020      0.98913755
       14901.050      0.98803795
       14901.080      0.98667622
       14901.110      0.98494781
       14901.140      0.98268323
       14901.170      0.97958822
       14901.200      0.97514812
       14901.230      0.96848879
       14901.260      0.95821604
       14901.290      0.94236246
       14901.320      0.91883624
       14901.350      0.88710138
       14901.380      0.84986280
       14901.410      0.81327542
       14901.440      0.78510581
       14901.470      0.77181539
       14901.500      0.77652194
       14901.530      0.79812908
       14901.560      0.83172303
       14901.590      0.86963759
       14901.620      0.90427815
       14901.650      0.93125353
       14901.680      0.95002730
       14901.710      0.96226073
       14901.740      0.97003858
       14901.770      0.97502338
       14901.800      0.97831126
       14901.830      0.98055948
       14901.860      0.98214538
       14901.890      0.98328579
       14901.920      0.98410936
       14901.950      0.98469583
       14901.980      0.98509770
       14902.010      0.98535065
       14902.040      0.98547895
       14902.070      0.98549907
       14902.100      0.98542182
       14902.130      0.98525421
       14902.160      0.98500039
       14902.190      0.98466161
       14902.220      0.98423567
       14902.250      0.98371705
       14902.280      0.98309757
       14902.310      0.98236685
       14902.340      0.98151273
       14902.370      0.98052218
       14902.400      0.97938504
       14902.430      0.97810105
       14902.460      0.97669130
       14902.490      0.97521330
       14902.520      0.97376335
       14902.550      0.97245942
       14902.580      0.97142234
       14902.610      0.97075403
       14902.640      0.97051420
       14902.670      0.97071203
       14902.700      0.97131274
       14902.730      0.97225232
       14902.760      0.97345129
       14902.790      0.97482499
       14902.820      0.97629133
       14902.850      0.97777567
       14902.880      0.97921556
       14902.910      0.98056472
       14902.940      0.98179746
       14902.970      0.98290804
       14903.000      0.98390295
       14903.030      0.98479443
       14903.060      0.98559601
       14903.090      0.98631974
       14903.120      0.98697602
       14903.150      0.98757403
       14903.180      0.98812181
       14903.210      0.98862600
       14903.240      0.98909184
       14903.270      0.98952367
       14903.300      0.98992526
       14903.330      0.99029978
       14903.360      0.99064972
       14903.390      0.99097712
       14903.420      0.99128374
       14903.450      0.99157124
       14903.480      0.99184124
       14903.510      0.99209530
       14903.540      0.99233496
       14903.570      0.99256164
       14903.600      0.99277657
       14903.630      0.99298071
       14903.660      0.99317481
       14903.690      0.99335952
       14903.720      0.99353544
       14903.750      0.99370313
       14903.780      0.99386317
       14903.810      0.99401609
       14903.840      0.99416240
       14903.870      0.99430255
       14903.900      0.99443686
       14903.930      0.99456561
       14903.960      0.99468904
       14903.990      0.99480735
       14904.020      0.99492076
       14904.050      0.99502947
       14904.080      0.99513369
       14904.110      0.99523361
       14904.140      0.99532946
       14904.170      0.99542142
       14904.200      0.99550971
       14904.230      0.99559452
       14904.260      0.99567607
       14904.290      0.99575456
       14904.320      0.99583018
       14904.350      0.99590314
       14904.380      0.99597361
       14904.410      0.99604174
       14904.440      0.99610766
       14904.470      0.99617144
       14904.500      0.99623316
       14904.530      0.99629288
       14904.560      0.99635067
       14904.590      0.99640659
       14904.620      0.99646070
       14904.650      0.99651307
       14904.680      0.99656376
       14904.710      0.99661282
       14904.740      0.99666033
       14904.770      0.99670634
       14904.800      0.99675091
       14904.830      0.99679411
       14904.860      0.99683600
       14904.890      0.99687663
       14904.920      0.99691605
       14904.950      0.99695429
       14904.980      0.99699138
       14905.010      0.99702730
       14905.040      0.99706205
       14905.070      0.99709562
       14905.100      0.99712800
       14905.130      0.99715916
       14905.160      0.99718911
       14905.190      0.99721781
       14905.220      0.99724527
       14905.250      0.99727146
       14905.280      0.99729638
       14905.310      0.99732000
       14905.340      0.99734232
       14905.370      0.99736332
       14905.400      0.99738300
       14905.430      0.99740135
       14905.460      0.99741837
       14905.490      0.99743411
       14905.520      0.99744862
       14905.550      0.99746201
       14905.580      0.99747437
       14905.610      0.99748582
       14905.640      0.99749646
       14905.670      0.99750640
       14905.700      0.99751576
       14905.730      0.99752465
       14905.760      0.99753318
       14905.790      0.99754146
       14905.820      0.99754961
       14905.850      0.99755773
       14905.880      0.99756593
       14905.910      0.99757433
       14905.940      0.99758300
       14905.970      0.99759201
       14906.000      0.99760134
       14906.030      0.99761085
       14906.060      0.99762019
       14906.090      0.99762891
       14906.120      0.99763650
       14906.150      0.99764240
       14906.180      0.99764605
       14906.210      0.99764690
       14906.240      0.99764437
       14906.270      0.99763791
       14906.300      0.99762695
       14906.330      0.99761093
       14906.360      0.99758929
       14906.390      0.99756145
