 #      wave           flux
       14900.000      0.99643302
       14900.030      0.99637887
       14900.060      0.99630646
       14900.090      0.99622431
       14900.120      0.99613674
       14900.150      0.99604554
       14900.180      0.99595112
       14900.210      0.99585326
       14900.240      0.99575153
       14900.270      0.99564537
       14900.300      0.99553422
       14900.330      0.99541747
       14900.360      0.99529438
       14900.390      0.99516400
       14900.420      0.99502507
       14900.450      0.99487600
       14900.480      0.99471506
       14900.510      0.99454042
       14900.540      0.99435024
       14900.570      0.99414264
       14900.600      0.99391574
       14900.630      0.99366766
       14900.660      0.99339643
       14900.690      0.99309989
       14900.720      0.99277543
       14900.750      0.99241947
       14900.780      0.99202666
       14900.810      0.99158959
       14900.840      0.99109891
       14900.870      0.99054312
       14900.900      0.98990808
       14900.930      0.98917622
       14900.960      0.98832456
       14900.990      0.98732194
       14901.020      0.98612559
       14901.050      0.98467485
       14901.080      0.98288002
       14901.110      0.98060397
       14901.140      0.97762597
       14901.170      0.97357311
       14901.200      0.96780725
       14901.230      0.95926326
       14901.260      0.94628237
       14901.290      0.92663439
       14901.320      0.89813964
       14901.350      0.86033276
       14901.380      0.81661750
       14901.410      0.77458864
       14901.440      0.74308686
       14901.470      0.72860133
       14901.500      0.73385105
       14901.530      0.75782631
       14901.560      0.79572163
       14901.590      0.83942810
       14901.620      0.88029153
       14901.650      0.91280318
       14901.680      0.93587865
       14901.710      0.95118671
       14901.740      0.96107151
       14901.770      0.96748270
       14901.800      0.97174182
       14901.830      0.97465988
       14901.860      0.97671211
       14901.890      0.97817632
       14901.920      0.97921938
       14901.950      0.97994532
       14901.980      0.98042263
       14902.010      0.98069758
       14902.040      0.98080142
       14902.070      0.98075543
       14902.100      0.98057357
       14902.130      0.98026421
       14902.160      0.97983084
       14902.190      0.97927279
       14902.220      0.97858558
       14902.250      0.97776082
       14902.280      0.97678591
       14902.310      0.97564386
       14902.340      0.97431428
       14902.370      0.97277581
       14902.400      0.97101269
       14902.430      0.96902531
       14902.460      0.96684652
       14902.490      0.96456322
       14902.520      0.96232062
       14902.550      0.96029924
       14902.580      0.95868761
       14902.610      0.95764555
       14902.640      0.95726478
       14902.670      0.95755695
       14902.700      0.95846654
       14902.730      0.95989522
       14902.760      0.96172314
       14902.790      0.96382190
       14902.820      0.96606283
       14902.850      0.96832740
       14902.880      0.97051936
       14902.910      0.97257065
       14902.940      0.97444426
       14902.970      0.97613146
       14903.000      0.97764100
       14903.030      0.97899056
       14903.060      0.98020033
       14903.090      0.98128894
       14903.120      0.98227272
       14903.150      0.98316592
       14903.180      0.98398086
       14903.210      0.98472780
       14903.240      0.98541502
       14903.270      0.98604941
       14903.300      0.98663691
       14903.330      0.98718252
       14903.360      0.98769025
       14903.390      0.98816339
       14903.420      0.98860483
       14903.450      0.98901726
       14903.480      0.98940323
       14903.510      0.98976515
       14903.540      0.99010536
       14903.570      0.99042601
       14903.600      0.99072895
       14903.630      0.99101568
       14903.660      0.99128737
       14903.690      0.99154503
       14903.720      0.99178962
       14903.750      0.99202203
       14903.780      0.99224314
       14903.810      0.99245380
       14903.840      0.99265480
       14903.870      0.99284681
       14903.900      0.99303036
       14903.930      0.99320585
       14903.960      0.99337365
       14903.990      0.99353407
       14904.020      0.99368743
       14904.050      0.99383405
       14904.080      0.99397423
       14904.110      0.99410827
       14904.140      0.99423650
       14904.170      0.99435922
       14904.200      0.99447673
       14904.230      0.99458935
       14904.260      0.99469739
       14904.290      0.99480115
       14904.320      0.99490094
       14904.350      0.99499704
       14904.380      0.99508974
       14904.410      0.99517925
       14904.440      0.99526573
       14904.470      0.99534931
       14904.500      0.99543009
       14904.530      0.99550815
       14904.560      0.99558357
       14904.590      0.99565644
       14904.620      0.99572683
       14904.650      0.99579483
       14904.680      0.99586052
       14904.710      0.99592397
       14904.740      0.99598527
       14904.770      0.99604450
       14904.800      0.99610173
       14904.830      0.99615705
       14904.860      0.99621054
       14904.890      0.99626226
       14904.920      0.99631230
       14904.950      0.99636069
       14904.980      0.99640748
       14905.010      0.99645268
       14905.040      0.99649631
