 #      wave           flux
       14880.000      0.99975673
       14880.031      0.99974536
       14880.062      0.99972802
       14880.093      0.99970598
       14880.124      0.99967813
       14880.155      0.99964070
       14880.186      0.99958618
       14880.217      0.99950184
       14880.248      0.99936545
       14880.279      0.99913625
       14880.310      0.99874351
       14880.341      0.99808322
       14880.372      0.99705018
       14880.403      0.99565442
       14880.434      0.99412810
       14880.465      0.99288896
       14880.496      0.99240144
       14880.527      0.99288721
       14880.558      0.99411913
       14880.589      0.99563358
       14880.620      0.99702446
       14880.651      0.99806433
       14880.682      0.99873088
       14880.713      0.99912354
       14880.744      0.99935050
       14880.775      0.99948627
       14880.806      0.99957383
       14880.837      0.99963432
       14880.868      0.99967713
       14880.899      0.99970683
       14880.930      0.99972648
       14880.961      0.99973887
       14880.992      0.99974678
       14881.023      0.99975268
       14881.054      0.99975824
       14881.085      0.99976420
       14881.116      0.99977066
       14881.147      0.99977736
       14881.178      0.99978395
       14881.209      0.99979000
       14881.240      0.99979513
       14881.271      0.99979903
       14881.302      0.99980153
       14881.333      0.99980265
       14881.364      0.99980255
       14881.395      0.99980149
       14881.426      0.99979978
       14881.457      0.99979771
       14881.488      0.99979559
       14881.519      0.99979369
       14881.550      0.99979221
       14881.581      0.99979129
       14881.612      0.99979094
       14881.643      0.99979114
       14881.674      0.99979184
       14881.705      0.99979298
       14881.736      0.99979448
       14881.767      0.99979628
       14881.798      0.99979830
       14881.829      0.99980049
       14881.860      0.99980277
       14881.891      0.99980507
       14881.922      0.99980732
       14881.953      0.99980946
       14881.984      0.99981142
       14882.015      0.99981313
       14882.046      0.99981455
       14882.077      0.99981563
       14882.108      0.99981638
       14882.139      0.99981678
       14882.170      0.99981688
       14882.201      0.99981669
       14882.232      0.99981625
       14882.263      0.99981558
       14882.294      0.99981473
       14882.325      0.99981371
       14882.356      0.99981256
       14882.387      0.99981131
       14882.418      0.99980999
       14882.449      0.99980864
       14882.480      0.99980727
       14882.511      0.99980593
       14882.542      0.99980464
       14882.573      0.99980342
       14882.604      0.99980229
       14882.635      0.99980126
       14882.666      0.99980033
       14882.697      0.99979949
       14882.728      0.99979875
       14882.759      0.99979808
       14882.790      0.99979750
       14882.821      0.99979699
       14882.852      0.99979655
       14882.883      0.99979617
       14882.914      0.99979584
       14882.945      0.99979557
       14882.976      0.99979535
       14883.007      0.99979516
       14883.038      0.99979501
       14883.069      0.99979489
       14883.100      0.99979479
       14883.131      0.99979471
       14883.162      0.99979464
       14883.193      0.99979458
       14883.224      0.99979452
       14883.255      0.99979446
       14883.286      0.99979438
       14883.317      0.99979429
       14883.348      0.99979418
       14883.379      0.99979405
       14883.410      0.99979388
       14883.441      0.99979367
       14883.472      0.99979343
       14883.503      0.99979313
       14883.534      0.99979278
       14883.565      0.99979237
       14883.596      0.99979189
       14883.627      0.99979135
       14883.658      0.99979075
       14883.689      0.99979007
       14883.720      0.99978933
       14883.751      0.99978853
       14883.782      0.99978766
       14883.813      0.99978674
       14883.844      0.99978576
       14883.875      0.99978473
       14883.906      0.99978365
       14883.937      0.99978253
       14883.968      0.99978136
       14883.999      0.99978015
       14884.030      0.99977890
       14884.061      0.99977761
       14884.092      0.99977629
       14884.123      0.99977494
       14884.154      0.99977356
       14884.185      0.99977215
       14884.216      0.99977072
       14884.247      0.99976928
       14884.278      0.99976781
       14884.309      0.99976633
       14884.340      0.99976484
       14884.371      0.99976334
       14884.402      0.99976183
       14884.433      0.99976032
       14884.464      0.99975880
