 #      wave           flux
       22900.000      0.99993498
       22900.040      0.99993641
       22900.080      0.99993653
       22900.120      0.99993593
       22900.160      0.99993498
       22900.200      0.99993389
       22900.240      0.99993275
       22900.280      0.99993161
       22900.320      0.99993050
       22900.360      0.99992942
       22900.400      0.99992838
       22900.440      0.99992737
       22900.480      0.99992639
       22900.520      0.99992541
       22900.560      0.99992440
       22900.600      0.99992330
       22900.640      0.99992206
       22900.680      0.99992061
       22900.720      0.99991889
       22900.760      0.99991684
       22900.800      0.99991439
       22900.840      0.99991150
       22900.880      0.99990812
       22900.920      0.99990422
       22900.960      0.99989984
       22901.000      0.99989508
       22901.040      0.99989013
       22901.080      0.99988520
       22901.120      0.99988047
       22901.160      0.99987597
       22901.200      0.99987135
       22901.240      0.99986568
       22901.280      0.99985723
       22901.320      0.99984343
       22901.360      0.99982053
       22901.400      0.99978228
       22901.440      0.99971697
       22901.480      0.99960165
       22901.520      0.99939245
       22901.560      0.99901134
       22901.600      0.99833512
       22901.640      0.99720262
       22901.680      0.99546525
       22901.720      0.99308639
       22901.760      0.99021776
       22901.800      0.98719515
       22901.840      0.98451217
       22901.880      0.98274005
       22901.920      0.98233776
       22901.960      0.98343374
       22902.000      0.98574778
       22902.040      0.98872873
       22902.080      0.99177244
       22902.120      0.99441711
       22902.160      0.99643973
       22902.200      0.99783234
       22902.240      0.99871226
       22902.280      0.99923046
       22902.320      0.99951377
       22902.360      0.99965607
       22902.400      0.99972352
       22902.440      0.99975711
       22902.480      0.99977662
       22902.520      0.99978883
       22902.560      0.99979483
       22902.600      0.99979433
       22902.640      0.99978665
       22902.680      0.99976790
       22902.720      0.99972548
       22902.760      0.99963061
       22902.800      0.99943432
       22902.840      0.99906918
       22902.880      0.99845007
       22902.920      0.99747730
       22902.960      0.99606462
       22903.000      0.99420011
       22903.040      0.99200376
       22903.080      0.98975305
       22903.120      0.98784830
       22903.160      0.98670077
       22903.200      0.98658594
       22903.240      0.98752303
       22903.280      0.98926106
       22903.320      0.99141152
       22903.360      0.99359830
       22903.400      0.99555298
       22903.440      0.99712077
       22903.480      0.99824547
       22903.520      0.99896284
       22903.560      0.99937139
       22903.600      0.99958622
       22903.640      0.99969904
       22903.680      0.99976250
       22903.720      0.99980115
       22903.760      0.99982529
       22903.800      0.99983941
       22903.840      0.99984614
       22903.880      0.99984755
       22903.920      0.99984559
       22903.960      0.99984207
       22904.000      0.99983851
       22904.040      0.99983582
       22904.080      0.99983425
       22904.120      0.99983357
       22904.160      0.99983334
       22904.200      0.99983304
       22904.240      0.99983221
       22904.280      0.99983057
       22904.320      0.99982817
       22904.360      0.99982531
       22904.400      0.99982246
       22904.440      0.99982011
       22904.480      0.99981865
       22904.520      0.99981819
       22904.560      0.99981833
       22904.600      0.99981800
       22904.640      0.99981563
       22904.680      0.99980949
       22904.720      0.99979798
       22904.760      0.99977984
       22904.800      0.99975409
       22904.840      0.99971905
       22904.880      0.99966821
       22904.920      0.99958121
       22904.960      0.99941128
       22905.000      0.99907893
       22905.040      0.99848842
       22905.080      0.99755858
       22905.120      0.99625631
       22905.160      0.99462130
       22905.200      0.99278914
       22905.240      0.99101850
       22905.280      0.98966917
       22905.320      0.98908483
       22905.360      0.98943673
       22905.400      0.99061900
       22905.440      0.99231657
       22905.480      0.99415873
       22905.520      0.99585374
       22905.560      0.99723960
       22905.600      0.99825891
       22905.640      0.99892868
       22905.680      0.99931772
       22905.720      0.99951769
       22905.760      0.99961394
       22905.800      0.99966398
       22905.840      0.99969570
       22905.880      0.99971877
       22905.920      0.99973522
       22905.960      0.99974542
       22906.000      0.99975001
       22906.040      0.99975015
       22906.080      0.99974728
       22906.120      0.99974294
       22906.160      0.99973844
       22906.200      0.99973459
       22906.240      0.99973169
       22906.280      0.99972970
       22906.320      0.99972837
       22906.360      0.99972741
       22906.400      0.99972648
       22906.440      0.99972533
       22906.480      0.99972379
       22906.520      0.99972178
       22906.560      0.99971931
       22906.600      0.99971638
       22906.640      0.99971305
       22906.680      0.99970935
       22906.720      0.99970534
       22906.760      0.99970105
       22906.800      0.99969655
       22906.840      0.99969188
       22906.880      0.99968708
       22906.920      0.99968220
       22906.960      0.99967728
       22907.000      0.99967232
       22907.040      0.99966735
       22907.080      0.99966235
       22907.120      0.99965731
       22907.160      0.99965220
       22907.200      0.99964700
       22907.240      0.99964169
       22907.280      0.99963624
       22907.320      0.99963064
       22907.360      0.99962485
       22907.400      0.99961887
       22907.440      0.99961265
       22907.480      0.99960620
       22907.520      0.99959948
       22907.560      0.99959251
       22907.600      0.99958528
       22907.640      0.99957781
       22907.680      0.99957011
       22907.720      0.99956219
       22907.760      0.99955407
       22907.800      0.99954578
       22907.840      0.99953731
       22907.880      0.99952871
       22907.920      0.99951997
       22907.960      0.99951112
       22908.000      0.99950216
       22908.040      0.99949309
       22908.080      0.99948389
       22908.120      0.99947452
       22908.160      0.99946493
       22908.200      0.99945502
       22908.240      0.99944473
       22908.280      0.99943395
       22908.320      0.99942261
       22908.360      0.99941061
       22908.400      0.99939787
       22908.440      0.99938430
       22908.480      0.99936982
       22908.520      0.99935437
       22908.560      0.99933792
       22908.600      0.99932051
       22908.640      0.99930229
       22908.680      0.99928352
       22908.720      0.99926458
       22908.760      0.99924584
       22908.800      0.99922763
       22908.840      0.99921010
       22908.880      0.99919308
       22908.920      0.99917582
       22908.960      0.99915699
       22909.000      0.99913487
       22909.040      0.99910761
       22909.080      0.99907340
       22909.120      0.99903042
       22909.160      0.99897628
       22909.200      0.99890608
       22909.240      0.99880679
       22909.280      0.99864634
       22909.320      0.99835887
       22909.360      0.99784088
       22909.400      0.99697713
       22909.440      0.99568161
       22909.480      0.99393856
       22909.520      0.99182267
       22909.560      0.98951327
       22909.600      0.98731770
       22909.640      0.98564478
       22909.680      0.98488061
       22909.720      0.98522280
       22909.760      0.98656200
       22909.800      0.98855476
       22909.840      0.99078825
       22909.880      0.99291419
       22909.920      0.99469642
       22909.960      0.99601537
       22910.000      0.99687478
       22910.040      0.99736861
       22910.080      0.99761408
       22910.120      0.99770924
       22910.160      0.99771920
       22910.200      0.99768136
       22910.240      0.99761530
       22910.280      0.99753051
       22910.320      0.99743156
       22910.360      0.99732084
       22910.400      0.99719977
       22910.440      0.99706925
       22910.480      0.99692971
       22910.520      0.99678119
       22910.560      0.99662340
       22910.600      0.99645578
       22910.640      0.99627764
       22910.680      0.99608811
       22910.720      0.99588604
       22910.760      0.99566994
       22910.800      0.99543792
       22910.840      0.99518794
       22910.880      0.99491782
       22910.920      0.99462528
       22910.960      0.99430798
       22911.000      0.99396345
       22911.040      0.99358918
       22911.080      0.99318270
       22911.120      0.99274182
       22911.160      0.99226503
       22911.200      0.99175214
       22911.240      0.99120522
       22911.280      0.99062924
       22911.320      0.99003137
       22911.360      0.98942031
       22911.400      0.98880606
       22911.440      0.98820023
       22911.480      0.98761703
       22911.520      0.98707404
       22911.560      0.98659155
       22911.600      0.98619077
       22911.640      0.98589206
       22911.680      0.98571255
       22911.720      0.98566269
       22911.760      0.98574242
       22911.800      0.98594107
       22911.840      0.98624118
       22911.880      0.98662168
       22911.920      0.98705993
       22911.960      0.98753302
       22912.000      0.98801888
       22912.040      0.98849760
       22912.080      0.98895338
       22912.120      0.98937616
       22912.160      0.98976074
       22912.200      0.99010477
       22912.240      0.99040741
       22912.280      0.99066852
       22912.320      0.99088828
       22912.360      0.99106705
       22912.400      0.99120523
       22912.440      0.99130332
       22912.480      0.99136180
       22912.520      0.99138125
       22912.560      0.99136230
       22912.600      0.99130570
       22912.640      0.99121246
       22912.680      0.99108415
       22912.720      0.99092346
       22912.760      0.99073517
       22912.800      0.99052737
       22912.840      0.99031147
       22912.880      0.99010103
       22912.920      0.98991067
       22912.960      0.98975530
       22913.000      0.98964948
       22913.040      0.98960648
       22913.080      0.98963695
       22913.120      0.98974665
       22913.160      0.98993456
       22913.200      0.99019384
       22913.240      0.99051418
       22913.280      0.99088348
       22913.320      0.99128884
       22913.360      0.99171716
       22913.400      0.99215560
       22913.440      0.99259212
       22913.480      0.99301633
       22913.520      0.99342072
       22913.560      0.99380140
       22913.600      0.99415719
       22913.640      0.99448847
       22913.680      0.99479640
       22913.720      0.99508250
       22913.760      0.99534843
       22913.800      0.99559589
       22913.840      0.99582651
       22913.880      0.99604180
       22913.920      0.99624305
       22913.960      0.99643126
       22914.000      0.99660727
       22914.040      0.99677184
       22914.080      0.99692567
       22914.120      0.99706945
       22914.160      0.99720384
       22914.200      0.99732949
       22914.240      0.99744705
       22914.280      0.99755710
       22914.320      0.99766019
       22914.360      0.99775679
       22914.400      0.99784738
       22914.440      0.99793237
       22914.480      0.99801220
       22914.520      0.99808729
       22914.560      0.99815803
       22914.600      0.99822484
       22914.640      0.99828806
       22914.680      0.99834802
       22914.720      0.99840494
       22914.760      0.99845902
       22914.800      0.99851039
       22914.840      0.99855918
       22914.880      0.99860551
       22914.920      0.99864948
       22914.960      0.99869121
       22915.000      0.99873080
       22915.040      0.99876837
       22915.080      0.99880403
       22915.120      0.99883788
       22915.160      0.99887003
       22915.200      0.99890060
       22915.240      0.99892969
       22915.280      0.99895741
       22915.320      0.99898388
       22915.360      0.99900918
       22915.400      0.99903343
       22915.440      0.99905672
       22915.480      0.99907909
       22915.520      0.99910062
       22915.560      0.99912134
       22915.600      0.99914127
       22915.640      0.99916044
       22915.680      0.99917887
       22915.720      0.99919659
       22915.760      0.99921363
       22915.800      0.99923000
       22915.840      0.99924573
       22915.880      0.99926084
       22915.920      0.99927536
       22915.960      0.99928930
       22916.000      0.99930270
       22916.040      0.99931557
       22916.080      0.99932793
       22916.120      0.99933982
       22916.160      0.99935125
       22916.200      0.99936225
       22916.240      0.99937282
       22916.280      0.99938300
       22916.320      0.99939279
       22916.360      0.99940221
       22916.400      0.99941127
       22916.440      0.99941998
       22916.480      0.99942836
       22916.520      0.99943642
       22916.560      0.99944416
       22916.600      0.99945161
       22916.640      0.99945877
       22916.680      0.99946566
       22916.720      0.99947228
       22916.760      0.99947866
       22916.800      0.99948480
       22916.840      0.99949071
       22916.880      0.99949641
       22916.920      0.99950191
       22916.960      0.99950721
       22917.000      0.99951233
       22917.040      0.99951726
       22917.080      0.99952199
       22917.120      0.99952652
       22917.160      0.99953085
       22917.200      0.99953494
       22917.240      0.99953881
       22917.280      0.99954242
       22917.320      0.99954577
       22917.360      0.99954885
       22917.400      0.99955165
       22917.440      0.99955415
       22917.480      0.99955634
       22917.520      0.99955821
       22917.560      0.99955974
       22917.600      0.99956092
       22917.640      0.99956175
       22917.680      0.99956220
       22917.720      0.99956226
       22917.760      0.99956192
       22917.800      0.99956115
       22917.840      0.99955991
       22917.880      0.99955817
       22917.920      0.99955589
       22917.960      0.99955302
       22918.000      0.99954951
       22918.040      0.99954533
       22918.080      0.99954040
       22918.120      0.99953465
       22918.160      0.99952797
       22918.200      0.99952020
       22918.240      0.99951109
       22918.280      0.99950037
       22918.320      0.99948773
