 #      wave           flux
       22900.000      0.99996513
       22900.040      0.99996683
       22900.080      0.99996725
       22900.120      0.99996698
       22900.160      0.99996637
       22900.200      0.99996562
       22900.240      0.99996484
       22900.280      0.99996406
       22900.320      0.99996332
       22900.360      0.99996263
       22900.400      0.99996198
       22900.440      0.99996139
       22900.480      0.99996086
       22900.520      0.99996036
       22900.560      0.99995990
       22900.600      0.99995944
       22900.640      0.99995895
       22900.680      0.99995842
       22900.720      0.99995780
       22900.760      0.99995707
       22900.800      0.99995621
       22900.840      0.99995517
       22900.880      0.99995395
       22900.920      0.99995252
       22900.960      0.99995086
       22901.000      0.99994899
       22901.040      0.99994694
       22901.080      0.99994475
       22901.120      0.99994243
       22901.160      0.99993992
       22901.200      0.99993701
       22901.240      0.99993316
       22901.280      0.99992721
       22901.320      0.99991679
       22901.360      0.99989676
       22901.400      0.99985533
       22901.440      0.99976575
       22901.480      0.99957094
       22901.520      0.99915868
       22901.560      0.99832994
       22901.600      0.99677328
       22901.640      0.99407324
       22901.680      0.98980471
       22901.720      0.98376250
       22901.760      0.97625859
       22901.800      0.96821539
       22901.840      0.96105495
       22901.880      0.95636000
       22901.920      0.95532578
       22901.960      0.95825061
       22902.000      0.96438660
       22902.040      0.97226286
       22902.080      0.98024809
       22902.120      0.98709576
       22902.160      0.99222406
       22902.200      0.99565318
       22902.240      0.99773829
       22902.280      0.99889582
       22902.320      0.99946918
       22902.360      0.99971496
       22902.400      0.99980902
       22902.440      0.99984980
       22902.480      0.99987847
       22902.520      0.99990536
       22902.560      0.99992889
       22902.600      0.99994609
       22902.640      0.99995575
       22902.680      0.99995840
       22902.720      0.99995560
       22902.760      0.99994941
       22902.800      0.99994193
       22902.840      0.99993497
       22902.880      0.99992968
       22902.920      0.99992652
       22902.960      0.99992542
       22903.000      0.99992602
       22903.040      0.99992786
       22903.080      0.99993042
       22903.120      0.99993321
       22903.160      0.99993586
       22903.200      0.99993810
       22903.240      0.99993985
       22903.280      0.99994106
       22903.320      0.99994176
       22903.360      0.99994201
       22903.400      0.99994184
       22903.440      0.99994132
       22903.480      0.99994051
       22903.520      0.99993946
       22903.560      0.99993824
       22903.600      0.99993690
       22903.640      0.99993550
       22903.680      0.99993409
       22903.720      0.99993274
       22903.760      0.99993146
       22903.800      0.99993030
       22903.840      0.99992926
       22903.880      0.99992834
       22903.920      0.99992752
       22903.960      0.99992681
       22904.000      0.99992618
       22904.040      0.99992563
       22904.080      0.99992513
       22904.120      0.99992469
       22904.160      0.99992427
       22904.200      0.99992388
       22904.240      0.99992349
       22904.280      0.99992310
       22904.320      0.99992268
       22904.360      0.99992224
       22904.400      0.99992177
       22904.440      0.99992125
       22904.480      0.99992070
       22904.520      0.99992010
       22904.560      0.99991946
       22904.600      0.99991878
       22904.640      0.99991806
       22904.680      0.99991730
       22904.720      0.99991651
       22904.760      0.99991569
       22904.800      0.99991483
       22904.840      0.99991394
       22904.880      0.99991301
       22904.920      0.99991206
       22904.960      0.99991109
       22905.000      0.99991008
       22905.040      0.99990905
       22905.080      0.99990799
       22905.120      0.99990692
       22905.160      0.99990582
       22905.200      0.99990470
       22905.240      0.99990356
       22905.280      0.99990241
       22905.320      0.99990123
       22905.360      0.99990005
       22905.400      0.99989885
       22905.440      0.99989764
       22905.480      0.99989642
       22905.520      0.99989518
       22905.560      0.99989394
       22905.600      0.99989269
       22905.640      0.99989144
       22905.680      0.99989017
       22905.720      0.99988889
       22905.760      0.99988760
       22905.800      0.99988629
       22905.840      0.99988497
       22905.880      0.99988363
       22905.920      0.99988227
       22905.960      0.99988089
       22906.000      0.99987949
       22906.040      0.99987806
       22906.080      0.99987660
       22906.120      0.99987512
       22906.160      0.99987360
       22906.200      0.99987205
       22906.240      0.99987047
       22906.280      0.99986885
       22906.320      0.99986720
       22906.360      0.99986550
       22906.400      0.99986376
       22906.440      0.99986198
       22906.480      0.99986016
       22906.520      0.99985829
       22906.560      0.99985636
       22906.600      0.99985439
       22906.640      0.99985237
       22906.680      0.99985029
       22906.720      0.99984816
       22906.760      0.99984596
       22906.800      0.99984371
       22906.840      0.99984140
       22906.880      0.99983902
       22906.920      0.99983659
       22906.960      0.99983408
       22907.000      0.99983151
       22907.040      0.99982888
       22907.080      0.99982618
       22907.120      0.99982341
       22907.160      0.99982056
       22907.200      0.99981765
       22907.240      0.99981467
       22907.280      0.99981162
       22907.320      0.99980849
       22907.360      0.99980528
       22907.400      0.99980200
       22907.440      0.99979865
       22907.480      0.99979522
       22907.520      0.99979170
       22907.560      0.99978811
       22907.600      0.99978444
       22907.640      0.99978069
       22907.680      0.99977685
       22907.720      0.99977294
       22907.760      0.99976893
       22907.800      0.99976484
       22907.840      0.99976067
       22907.880      0.99975641
       22907.920      0.99975205
       22907.960      0.99974761
       22908.000      0.99974307
       22908.040      0.99973844
       22908.080      0.99973370
       22908.120      0.99972883
       22908.160      0.99972384
       22908.200      0.99971869
       22908.240      0.99971337
       22908.280      0.99970787
       22908.320      0.99970217
       22908.360      0.99969624
       22908.400      0.99969008
       22908.440      0.99968366
       22908.480      0.99967697
       22908.520      0.99966998
       22908.560      0.99966269
       22908.600      0.99965507
       22908.640      0.99964711
       22908.680      0.99963878
       22908.720      0.99963008
       22908.760      0.99962098
       22908.800      0.99961146
       22908.840      0.99960152
       22908.880      0.99959112
       22908.920      0.99958025
       22908.960      0.99956890
       22909.000      0.99955705
       22909.040      0.99954468
       22909.080      0.99953177
       22909.120      0.99951830
       22909.160      0.99950425
       22909.200      0.99948961
       22909.240      0.99947436
       22909.280      0.99945845
       22909.320      0.99944185
       22909.360      0.99942453
       22909.400      0.99940642
       22909.440      0.99938748
       22909.480      0.99936765
       22909.520      0.99934687
       22909.560      0.99932510
       22909.600      0.99930228
       22909.640      0.99927835
       22909.680      0.99925325
       22909.720      0.99922694
       22909.760      0.99919934
       22909.800      0.99917037
       22909.840      0.99913994
       22909.880      0.99910787
       22909.920      0.99907394
       22909.960      0.99903780
       22910.000      0.99899908
       22910.040      0.99895733
       22910.080      0.99891213
       22910.120      0.99886303
       22910.160      0.99880958
       22910.200      0.99875133
       22910.240      0.99868783
       22910.280      0.99861861
       22910.320      0.99854323
       22910.360      0.99846120
       22910.400      0.99837200
       22910.440      0.99827502
       22910.480      0.99816943
       22910.520      0.99805415
       22910.560      0.99792767
       22910.600      0.99778818
       22910.640      0.99763358
       22910.680      0.99746147
       22910.720      0.99726905
       22910.760      0.99705298
       22910.800      0.99680899
       22910.840      0.99653136
       22910.880      0.99621263
       22910.920      0.99584341
       22910.960      0.99541183
       22911.000      0.99490253
       22911.040      0.99429588
       22911.080      0.99356697
       22911.120      0.99268275
       22911.160      0.99159784
       22911.200      0.99025114
       22911.240      0.98856317
       22911.280      0.98643490
       22911.320      0.98375051
       22911.360      0.98038963
       22911.400      0.97625157
       22911.440      0.97129762
       22911.480      0.96560821
       22911.520      0.95943922
       22911.560      0.95324902
       22911.600      0.94767034
       22911.640      0.94340563
       22911.680      0.94106601
       22911.720      0.94100686
       22911.760      0.94322513
       22911.800      0.94735851
       22911.840      0.95279068
       22911.880      0.95881420
       22911.920      0.96479219
       22911.960      0.97026197
       22912.000      0.97496267
       22912.040      0.97880523
       22912.080      0.98181589
       22912.120      0.98407537
       22912.160      0.98567373
       22912.200      0.98668146
       22912.240      0.98713573
       22912.280      0.98703646
       22912.320      0.98635126
       22912.360      0.98503152
       22912.400      0.98303501
       22912.440      0.98035368
       22912.480      0.97703971
       22912.520      0.97321571
       22912.560      0.96906484
       22912.600      0.96480542
       22912.640      0.96065492
       22912.680      0.95679556
       22912.720      0.95335023
       22912.760      0.95037313
       22912.800      0.94786187
       22912.840      0.94578094
       22912.880      0.94409880
       22912.920      0.94283890
       22912.960      0.94211742
       22913.000      0.94214156
       22913.040      0.94316156
       22913.080      0.94537744
       22913.120      0.94884196
       22913.160      0.95340037
       22913.200      0.95871329
       22913.240      0.96434146
       22913.280      0.96984861
       22913.320      0.97489186
       22913.360      0.97927220
       22913.400      0.98292606
       22913.440      0.98588669
       22913.480      0.98824229
       22913.520      0.99010080
       22913.560      0.99156627
       22913.600      0.99272888
       22913.640      0.99366057
       22913.680      0.99441581
       22913.720      0.99503550
       22913.760      0.99555032
       22913.800      0.99598351
       22913.840      0.99635270
       22913.880      0.99667114
       22913.920      0.99694843
       22913.960      0.99719126
       22914.000      0.99740437
       22914.040      0.99759155
       22914.080      0.99775608
       22914.120      0.99790101
       22914.160      0.99802926
       22914.200      0.99814364
       22914.240      0.99824670
       22914.280      0.99834064
       22914.320      0.99842707
       22914.360      0.99850705
       22914.400      0.99858129
       22914.440      0.99865030
       22914.480      0.99871452
       22914.520      0.99877433
       22914.560      0.99883010
       22914.600      0.99888218
       22914.640      0.99893088
       22914.680      0.99897649
       22914.720      0.99901923
       22914.760      0.99905927
       22914.800      0.99909678
       22914.840      0.99913187
       22914.880      0.99916469
       22914.920      0.99919534
       22914.960      0.99922396
       22915.000      0.99925067
       22915.040      0.99927559
       22915.080      0.99929884
       22915.120      0.99932054
       22915.160      0.99934082
       22915.200      0.99935981
       22915.240      0.99937761
       22915.280      0.99939435
       22915.320      0.99941016
       22915.360      0.99942515
       22915.400      0.99943942
       22915.440      0.99945307
       22915.480      0.99946618
       22915.520      0.99947879
       22915.560      0.99949093
       22915.600      0.99950262
       22915.640      0.99951388
       22915.680      0.99952473
       22915.720      0.99953517
       22915.760      0.99954523
       22915.800      0.99955492
       22915.840      0.99956424
       22915.880      0.99957322
       22915.920      0.99958188
       22915.960      0.99959021
       22916.000      0.99959824
       22916.040      0.99960598
       22916.080      0.99961345
       22916.120      0.99962065
       22916.160      0.99962760
       22916.200      0.99963432
       22916.240      0.99964081
       22916.280      0.99964708
       22916.320      0.99965313
       22916.360      0.99965898
       22916.400      0.99966463
       22916.440      0.99967007
       22916.480      0.99967532
       22916.520      0.99968038
       22916.560      0.99968524
       22916.600      0.99968993
       22916.640      0.99969443
       22916.680      0.99969875
       22916.720      0.99970290
       22916.760      0.99970689
       22916.800      0.99971070
       22916.840      0.99971436
       22916.880      0.99971785
       22916.920      0.99972119
       22916.960      0.99972438
       22917.000      0.99972742
       22917.040      0.99973031
       22917.080      0.99973304
       22917.120      0.99973562
       22917.160      0.99973805
       22917.200      0.99974031
       22917.240      0.99974240
       22917.280      0.99974433
       22917.320      0.99974609
       22917.360      0.99974766
       22917.400      0.99974906
       22917.440      0.99975027
       22917.480      0.99975129
       22917.520      0.99975212
       22917.560      0.99975276
       22917.600      0.99975319
       22917.640      0.99975342
       22917.680      0.99975344
       22917.720      0.99975326
       22917.760      0.99975286
       22917.800      0.99975224
       22917.840      0.99975142
       22917.880      0.99975039
       22917.920      0.99974916
       22917.960      0.99974773
       22918.000      0.99974610
       22918.040      0.99974428
       22918.080      0.99974225
       22918.120      0.99973997
       22918.160      0.99973737
       22918.200      0.99973429
       22918.240      0.99973050
       22918.280      0.99972569
       22918.320      0.99971954
       22918.360      0.99971168
       22918.400      0.99970176
       22918.440      0.99968943
       22918.480      0.99967433
       22918.520      0.99965610
       22918.560      0.99963442
       22918.600      0.99960889
       22918.640      0.99957897
       22918.680      0.99954367
       22918.720      0.99950100
       22918.760      0.99944704
       22918.800      0.99937461
       22918.840      0.99927229
       22918.880      0.99912285
       22918.920      0.99889914
       22918.960      0.99855628
       22919.000      0.99802224
       22919.040      0.99719361
       22919.080      0.99594326
       22919.120      0.99415947
       22919.160      0.99183266
       22919.200      0.98915316
