 #      wave           flux
       14900.000      0.99785448
       14900.030      0.99782443
       14900.060      0.99778354
       14900.090      0.99773696
       14900.120      0.99768734
       14900.150      0.99763583
       14900.180      0.99758275
       14900.210      0.99752803
       14900.240      0.99747146
       14900.270      0.99741282
       14900.300      0.99735181
       14900.330      0.99728817
       14900.360      0.99722155
       14900.390      0.99715154
       14900.420      0.99707758
       14900.450      0.99699900
       14900.480      0.99691505
       14900.510      0.99682498
       14900.540      0.99672798
       14900.570      0.99662327
       14900.600      0.99651005
       14900.630      0.99638751
       14900.660      0.99625484
       14900.690      0.99611114
       14900.720      0.99595534
       14900.750      0.99578601
       14900.780      0.99560110
       14900.810      0.99539775
       14900.840      0.99517236
       14900.870      0.99492042
       14900.900      0.99463621
       14900.930      0.99431222
       14900.960      0.99393789
       14900.990      0.99349821
       14901.020      0.99297241
       14901.050      0.99233047
       14901.080      0.99152629
       14901.110      0.99048341
       14901.140      0.98905767
       14901.170      0.98695594
       14901.200      0.98358363
       14901.230      0.97778794
       14901.260      0.96751242
       14901.290      0.94961930
       14901.320      0.92056612
       14901.350      0.87891815
       14901.380      0.82893469
       14901.410      0.78078983
       14901.440      0.74532066
       14901.470      0.72929286
       14901.500      0.73510542
       14901.530      0.76189570
       14901.560      0.80504744
       14901.590      0.85529451
       14901.620      0.90135977
       14901.650      0.93590581
       14901.680      0.95812746
       14901.710      0.97103851
       14901.740      0.97813933
       14901.770      0.98198924
       14901.800      0.98411126
       14901.830      0.98531312
       14901.860      0.98599848
       14901.890      0.98636420
       14901.920      0.98650878
       14901.950      0.98648454
       14901.980      0.98632122
       14902.010      0.98603550
       14902.040      0.98563543
       14902.070      0.98512289
       14902.100      0.98449464
       14902.130      0.98374252
       14902.160      0.98285283
       14902.190      0.98180557
       14902.220      0.98057254
       14902.250      0.97911479
       14902.280      0.97737862
       14902.310      0.97529231
       14902.340      0.97276587
       14902.370      0.96969415
       14902.400      0.96597558
       14902.430      0.96155187
       14902.460      0.95646560
       14902.490      0.95092338
       14902.520      0.94531629
       14902.550      0.94016628
       14902.580      0.93602457
       14902.610      0.93333890
       14902.640      0.93234341
       14902.670      0.93303824
       14902.700      0.93524280
       14902.730      0.93867347
       14902.760      0.94300443
       14902.790      0.94789731
       14902.820      0.95301409
       14902.850      0.95804353
       14902.880      0.96273722
       14902.910      0.96692942
       14902.940      0.97054836
       14902.970      0.97360773
       14903.000      0.97617067
       14903.030      0.97831890
       14903.060      0.98013250
       14903.090      0.98167939
       14903.120      0.98301405
       14903.150      0.98417815
       14903.180      0.98520308
       14903.210      0.98611291
       14903.240      0.98692640
       14903.270      0.98765864
       14903.300      0.98832176
       14903.330      0.98892539
       14903.360      0.98947684
       14903.390      0.98998187
       14903.420      0.99044532
       14903.450      0.99087158
       14903.480      0.99126464
       14903.510      0.99162816
       14903.540      0.99196555
       14903.570      0.99227991
       14903.600      0.99257391
       14903.630      0.99284960
       14903.660      0.99310857
       14903.690      0.99335217
       14903.720      0.99358158
       14903.750      0.99379795
       14903.780      0.99400235
       14903.810      0.99419580
       14903.840      0.99437923
       14903.870      0.99455345
       14903.900      0.99471907
       14903.930      0.99487655
       14903.960      0.99502630
       14903.990      0.99516867
       14904.020      0.99530401
       14904.050      0.99543266
       14904.080      0.99555497
       14904.110      0.99567127
       14904.140      0.99578191
       14904.170      0.99588722
       14904.200      0.99598756
       14904.230      0.99608325
       14904.260      0.99617464
       14904.290      0.99626207
       14904.320      0.99634587
       14904.350      0.99642636
       14904.380      0.99650383
       14904.410      0.99657854
       14904.440      0.99665063
       14904.470      0.99672024
       14904.500      0.99678744
       14904.530      0.99685231
       14904.560      0.99691492
       14904.590      0.99697535
       14904.620      0.99703365
       14904.650      0.99708989
       14904.680      0.99714415
       14904.710      0.99719648
       14904.740      0.99724697
       14904.770      0.99729567
       14904.800      0.99734265
       14904.830      0.99738798
       14904.860      0.99743172
       14904.890      0.99747395
       14904.920      0.99751471
       14904.950      0.99755407
       14904.980      0.99759205
       14905.010      0.99762869
       14905.040      0.99766402
       14905.070      0.99769806
       14905.100      0.99773083
       14905.130      0.99776236
       14905.160      0.99779267
       14905.190      0.99782178
       14905.220      0.99784972
       14905.250      0.99787650
       14905.280      0.99790216
       14905.310      0.99792671
       14905.340      0.99795018
       14905.370      0.99797259
       14905.400      0.99799397
       14905.430      0.99801433
       14905.460      0.99803370
       14905.490      0.99805209
       14905.520      0.99806952
       14905.550      0.99808601
       14905.580      0.99810155
       14905.610      0.99811617
       14905.640      0.99812988
