 #      wave           flux
       19380.000      0.99825212
       19380.036      0.99824445
       19380.073      0.99823262
       19380.109      0.99821859
       19380.146      0.99820341
       19380.182      0.99818762
       19380.219      0.99817142
       19380.255      0.99815488
       19380.292      0.99813796
       19380.329      0.99812065
       19380.365      0.99810288
       19380.402      0.99808461
       19380.438      0.99806579
       19380.475      0.99804636
       19380.511      0.99802629
       19380.548      0.99800551
       19380.584      0.99798399
       19380.621      0.99796166
       19380.657      0.99793848
       19380.694      0.99791442
       19380.730      0.99788942
       19380.767      0.99786345
       19380.803      0.99783648
       19380.839      0.99780847
       19380.876      0.99777941
       19380.912      0.99774925
       19380.949      0.99771797
       19380.985      0.99768553
       19381.022      0.99765191
       19381.058      0.99761707
       19381.095      0.99758099
       19381.132      0.99754364
       19381.168      0.99750498
       19381.205      0.99746499
       19381.241      0.99742364
       19381.278      0.99738091
       19381.314      0.99733678
       19381.351      0.99729124
       19381.387      0.99724432
       19381.424      0.99719610
       19381.460      0.99714669
       19381.497      0.99709623
       19381.533      0.99704485
       19381.570      0.99699267
       19381.606      0.99693981
       19381.643      0.99688639
       19381.679      0.99683248
       19381.715      0.99677809
       19381.752      0.99672304
       19381.788      0.99666699
       19381.825      0.99660955
       19381.861      0.99655033
       19381.898      0.99648890
       19381.934      0.99642480
       19381.971      0.99635745
       19382.008      0.99628599
       19382.044      0.99620903
       19382.081      0.99612462
       19382.117      0.99603037
       19382.154      0.99592362
       19382.190      0.99580208
       19382.227      0.99566428
       19382.263      0.99550918
       19382.300      0.99533523
       19382.336      0.99513792
       19382.373      0.99490523
       19382.409      0.99461215
       19382.446      0.99421983
       19382.482      0.99368612
       19382.518      0.99298280
       19382.555      0.99211957
       19382.591      0.99116968
       19382.628      0.99026566
       19382.664      0.98956254
       19382.701      0.98919509
       19382.737      0.98922992
       19382.774      0.98962913
       19382.811      0.99027333
       19382.847      0.99100941
       19382.884      0.99169360
       19382.920      0.99223091
       19382.957      0.99259398
       19382.993      0.99280250
       19383.030      0.99289719
       19383.066      0.99292027
       19383.103      0.99290158
       19383.139      0.99285494
       19383.176      0.99278403
       19383.212      0.99268853
       19383.249      0.99256866
       19383.285      0.99242794
       19383.321      0.99227297
       19383.358      0.99211140
       19383.394      0.99194947
       19383.431      0.99178941
       19383.467      0.99162799
       19383.504      0.99145780
       19383.540      0.99126913
       19383.577      0.99105119
       19383.613      0.99079301
       19383.650      0.99048397
       19383.687      0.99011445
       19383.723      0.98967718
       19383.760      0.98916904
       19383.796      0.98859244
       19383.833      0.98795552
       19383.869      0.98727141
       19383.906      0.98655808
       19383.942      0.98584083
       19383.979      0.98515445
       19384.015      0.98453743
       19384.052      0.98402353
       19384.088      0.98363151
       19384.125      0.98335197
       19384.161      0.98314426
       19384.197      0.98295253
       19384.234      0.98272359
       19384.270      0.98241847
       19384.307      0.98201269
       19384.343      0.98149428
       19384.380      0.98086286
       19384.416      0.98012629
       19384.453      0.97929602
       19384.490      0.97838433
       19384.526      0.97740229
       19384.563      0.97635664
       19384.599      0.97524590
       19384.636      0.97405800
       19384.672      0.97277465
       19384.709      0.97137551
       19384.745      0.96984102
       19384.782      0.96815154
       19384.818      0.96628596
       19384.855      0.96422229
       19384.891      0.96194513
       19384.928      0.95946129
       19384.964      0.95681713
       19385.000      0.95409394
       19385.037      0.95136664
       19385.073      0.94865050
       19385.110      0.94586960
       19385.146      0.94289028
       19385.183      0.93957774
       19385.219      0.93583864
       19385.256      0.93161930
       19385.293      0.92687882
       19385.329      0.92156473
       19385.366      0.91562121
       19385.402      0.90899110
       19385.439      0.90158697
       19385.475      0.89329081
       19385.512      0.88397122
       19385.548      0.87349126
       19385.585      0.86173375
       19385.621      0.84863027
       19385.658      0.83417656
       19385.694      0.81850682
       19385.731      0.80200471
       19385.767      0.78534254
       19385.804      0.76950698
       19385.840      0.75571854
       19385.876      0.74523005
       19385.913      0.73911391
       19385.949      0.73803355
       19385.986      0.74209419
       19386.022      0.75085281
       19386.059      0.76338516
       19386.095      0.77849466
       19386.132      0.79493570
       19386.169      0.81160421
       19386.205      0.82768105
       19386.242      0.84267980
       19386.278      0.85637859
       19386.315      0.86871218
       19386.351      0.87972856
       19386.388      0.88953258
       19386.424      0.89825748
       19386.461      0.90604992
       19386.497      0.91304344
       19386.534      0.91934018
       19386.570      0.92501761
       19386.607      0.93014728
       19386.643      0.93479813
       19386.679      0.93903119
       19386.716      0.94289734
       19386.752      0.94643583
       19386.789      0.94967570
       19386.825      0.95264126
       19386.862      0.95535700
       19386.898      0.95784883
       19386.935      0.96014223
       19386.972      0.96226002
       19387.008      0.96422167
       19387.045      0.96604352
       19387.081      0.96773840
