night beam tag mjd facility airmass bvc
20170106 A 0094 2457760.9221165 DCT 1.4 4.405562660442322
20170106 B 0095 2457760.923446 DCT 1.41 4.4023485353486365
20170128 A 0073 2457782.8031455 DCT 1.21 -6.333473651631627
20170128 B 0074 2457782.804542 DCT 1.21 -6.337485414646073
20170214 A 0088 2457799.7836905 DCT 1.27 -14.211871033265394
20170214 B 0089 2457799.7858525002 DCT 1.28 -14.217570975239628
20170216 A 0060 2457801.6938664997 DCT 1.2 -14.818991005478077
20170216 B 0061 2457801.7016185 DCT 1.19 -14.841797772260705
20170216 B 0062 2457801.709127 DCT 1.19 -14.863874815409739
20170216 A 0063 2457801.7168115 DCT 1.19 -14.886411175643518
20170910 A 0102 2458008.0213325 DCT 1.74 22.67847067415195
20170910 B 0103 2458008.022357 DCT 1.73 22.67680701978292
20170911 A 0118 2458009.017144 DCT 1.76 22.97068754330386
20170911 B 0119 2458009.0180655 DCT 1.75 22.96920025486343
20170911 B 0120 2458009.019235 DCT 1.74 22.967300074902866
20170911 A 0121 2458009.0196885 DCT 1.73 22.966559282924948
