x2,w2,x3,w3,x4,w4,x5,w5,x6,w6
5,2.4174138894678556,5,2.3851626808879014,5,2.3537770977086008,5,2.323228324392581,5,2.2934869369578688
6,2.4174322968946855,6,2.3851808696915677,6,2.353795087602962,6,2.323246115194012,6,2.293504516448677
7,2.4174507021098717,7,2.385199056330182,7,2.353813075347448,7,2.3232639038577143,7,2.293522093839934
8,2.4174691051135944,8,2.3852172408039056,8,2.3538310609422193,8,2.323281690383854,8,2.293539669131787
9,2.4174875059060406,9,2.3852354231128947,9,2.353849044387431,9,2.323299474772595,9,2.293557242324387
10,2.4175059044873954,10,2.3852536032573117,10,2.3538670256832424,10,2.3233172570241036,10,2.293574813417885
11,2.417524300857845,11,2.3852717812373125,11,2.353885004829812,11,2.323335037138545,11,2.293592382412429
12,2.4175426950175734,12,2.3852899570530597,12,2.3539029818272983,12,2.3233528151160847,12,2.2936099493081685
13,2.417561086966766,13,2.38530813070471,13,2.3539209566758577,13,2.3233705909568867,13,2.2936275141052547
14,2.4175794767056074,14,2.3853263021924227,14,2.3539389293756487,14,2.3233883646611173,14,2.2936450768038363
15,2.4175978642342817,15,2.3853444715163565,15,2.3539568999268297,15,2.3234061362289418,15,2.293662637404062
16,2.417616249552975,16,2.3853626386766713,16,2.3539748683295594,16,2.323423905660525,16,2.2936801959060835
17,2.4176346326618723,17,2.385380803673526,17,2.3539928345839938,17,2.3234416729560325,17,2.29369775231005
18,2.417653013561158,18,2.3853989665070787,18,2.354010798690292,18,2.3234594381156293,18,2.293715306616111
19,2.417671392251017,19,2.3854171271774898,19,2.354028760648612,19,2.323477201139481,19,2.293732858824415
20,2.417689768731635,20,2.385435285684916,20,2.354046720459111,20,2.3234949620277527,20,2.2937504089351135
21,2.417708143003196,21,2.385453442029519,21,2.354064678121948,21,2.32351272078061,21,2.293767956948356
22,2.417726515065885,22,2.3854715962114557,22,2.354082633637281,22,2.323530477398217,22,2.2937855028642904
23,2.4177448849198884,23,2.3854897482308863,23,2.3541005870052665,23,2.3235482318807392,23,2.293803046683069
24,2.417763252565389,24,2.38550789808797,24,2.354118538226064,24,2.3235659842283436,24,2.29382058840484
25,2.4177816180025724,25,2.3855260457828646,25,2.3541364872998303,25,2.323583734441194,25,2.2938381280297526
26,2.4177999812316244,26,2.385544191315729,26,2.3541544342267233,26,2.3236014825194546,26,2.2938556655579583
27,2.417818342252729,27,2.3855623346867243,27,2.3541723790069025,27,2.323619228463293,27,2.2938732009896046
28,2.4178367010660717,28,2.3855804758960075,28,2.3541903216405253,28,2.3236369722728734,28,2.2938907343248434
29,2.417855057671836,29,2.385598614943739,29,2.3542082621277474,29,2.3236547139483608,29,2.2939082655638225
30,2.4178734120702097,30,2.3856167518300753,30,2.35422620046873,30,2.323672453489921,30,2.2939257947066927
31,2.4178917642613746,31,2.3856348865551777,31,2.3542441366636293,31,2.3236901908977186,31,2.293943321753604
32,2.4179101142455175,32,2.385653019119205,32,2.3542620707126036,32,2.3237079261719193,32,2.2939608467047043
33,2.4179284620228234,33,2.3856711495223153,33,2.3542800026158104,33,2.323725659312687,33,2.2939783695601452
34,2.4179468075934767,34,2.385689277764668,34,2.3542979323734086,34,2.3237433903201903,34,2.293995890320077
35,2.4179651509576616,35,2.3857074038464217,35,2.354315859985555,35,2.3237611191945904,35,2.2940134089846462
36,2.4179834921155643,36,2.385725527767737,36,2.354333785452408,36,2.3237788459360558,36,2.2940309255540057
37,2.4180018310673694,37,2.385743649528771,37,2.354351708774127,37,2.3237965705447494,37,2.2940484400283037
38,2.4180201678132605,38,2.3857617691296835,38,2.3543696299508676,38,2.3238142930208383,38,2.2940659524076903
39,2.4180385023534248,39,2.3857798865706332,39,2.3543875489827895,39,2.3238320133644867,39,2.2940834626923157
40,2.4180568346880458,40,2.38579800185178,40,2.354405465870049,40,2.3238497315758595,40,2.2941009708823277
41,2.418075164817308,41,2.3858161149732817,41,2.354423380612806,41,2.3238674476551235,41,2.294118476977878
42,2.418093492741398,42,2.3858342259352976,42,2.3544412932112166,42,2.3238851616024427,42,2.2941359809791155
43,2.4181118184604986,43,2.3858523347379874,43,2.3544592036654395,43,2.3239028734179823,43,2.2941534828861907
44,2.4181301419747974,44,2.3858704413815084,44,2.3544771119756343,44,2.323920583101908,44,2.294170982699252
45,2.418148463284477,45,2.3858885458660217,45,2.354495018141956,45,2.3239382906543855,45,2.2941884804184496
46,2.4181667823897226,46,2.385906648191685,46,2.3545129221645635,46,2.3239559960755787,46,2.2942059760439335
47,2.4181850992907203,47,2.385924748358658,47,2.3545308240436165,47,2.323973699365654,47,2.2942234695758534
48,2.418203413987654,48,2.385942846367099,48,2.354548723779271,48,2.3239914005247764,48,2.29424096101436
49,2.4182217264807098,49,2.385960942217167,49,2.3545666213716863,49,2.3240090995531113,49,2.2942584503595995
50,2.418240036770071,50,2.3859790359090223,50,2.354584516821019,50,2.3240267964508226,50,2.294275937611725
51,2.4182583448559236,51,2.385997127442822,51,2.3546024101274274,51,2.3240444912180775,51,2.294293422770886
52,2.418276650738453,52,2.3860152168187265,52,2.35462030129107,52,2.32406218385504,52,2.29431090583723
53,2.418294954417842,53,2.386033304036894,53,2.354638190312105,53,2.3240798743618756,53,2.2943283868109092
54,2.418313255894278,54,2.386051389097484,54,2.3546560771906897,54,2.324097562738751,54,2.294345865692071
55,2.4183315551679447,55,2.386069472000655,55,2.3546739619269816,55,2.324115248985829,55,2.294363342480868
56,2.4183498522390265,56,2.3860875527465666,56,2.3546918445211404,56,2.3241329331032765,56,2.294380817177447
57,2.41836814710771,57,2.3861056313353775,57,2.354709724973322,57,2.324150615091258,57,2.2943982897819595
58,2.4183864397741788,58,2.3861237077672457,58,2.3547276032836857,58,2.3241682949499394,58,2.2944157602945543
59,2.4184047302386187,59,2.3861417820423325,59,2.3547454794523888,59,2.324185972679486,59,2.294433228715382
60,2.4184230185012137,60,2.3861598541607942,60,2.3547633534795893,60,2.324203648280061,60,2.2944506950445906
61,2.418441304562148,61,2.3861779241227916,61,2.354781225365446,61,2.3242213217518324,61,2.294468159282332
62,2.41845958842161,62,2.386195991928484,62,2.3547990951101156,62,2.3242389930949643,62,2.2944856214287537
63,2.41847787007978,63,2.3862140575780284,63,2.3548169627137563,63,2.3242566623096215,63,2.294503081484008
64,2.418496149536846,64,2.3862321210715858,64,2.354834828176527,64,2.32427432939597,64,2.2945205394482424
65,2.418514426792992,65,2.386250182409314,65,2.354852691498585,65,2.3242919943541756,65,2.2945379953216074
66,2.418532701848404,66,2.3862682415913725,66,2.354870552680088,66,2.324309657184401,66,2.294555449104253
67,2.418550974703266,67,2.3862862986179203,67,2.3548884117211935,67,2.3243273178868145,67,2.294572900796328
68,2.418569245357762,68,2.386304353489116,68,2.3549062686220616,68,2.324344976461579,68,2.2945903503979834
69,2.418587513812078,69,2.3863224062051196,69,2.354924123382848,69,2.324362632908862,69,2.2946077979093666
70,2.418605780066399,70,2.386340456766088,70,2.3549419760037114,70,2.3243802872288275,70,2.2946252433306307
71,2.4186240441209104,71,2.3863585051721827,71,2.35495982648481,71,2.3243979394216394,71,2.2946426866619225
72,2.418642305975795,72,2.386376551423561,72,2.3549776748263027,72,2.324415589487466,72,2.2946601279033936
73,2.4186605656312397,73,2.3863945955203825,73,2.3549955210283446,73,2.3244332374264705,73,2.294677567055192
74,2.41867882308743,74,2.3864126374628065,74,2.3550133650910956,74,2.3244508832388178,74,2.294695004117469
75,2.4186970783445485,75,2.3864306772509916,75,2.3550312070147132,75,2.3244685269246745,75,2.2947124390903735
76,2.418715331402781,76,2.386448714885096,76,2.3550490467993566,76,2.3244861684842055,76,2.294729871974055
77,2.4187335822623144,77,2.3864667503652797,77,2.3550668844451828,77,2.324503807917576,77,2.2947473027686636
78,2.4187518309233305,78,2.386484783691702,78,2.355084719952349,78,2.324521445224949,78,2.2947647314743493
79,2.4187700773860166,79,2.3865028148645213,79,2.355102553321014,79,2.324539080406494,79,2.294782158091261
80,2.4187883216505566,80,2.3865208438838965,80,2.355120384551335,80,2.324556713462373,80,2.2947995826195493
81,2.4188065637171348,81,2.386538870749986,81,2.355138213643472,81,2.324574344392754,81,2.2948170050593646
82,2.4188248035859377,82,2.3865568954629506,82,2.35515604059758,82,2.324591973197799,82,2.294834425410853
83,2.418843041257149,83,2.3865749180229483,83,2.3551738654138195,83,2.324609599877675,83,2.294851843674168
84,2.4188612767309547,84,2.386592938430137,84,2.3551916880923467,84,2.3246272244325477,84,2.2948692598494578
85,2.418879510007538,85,2.3866109566846774,85,2.3552095086333207,85,2.324644846862581,85,2.294886673936873
86,2.4188977410870858,86,2.3866289727867285,86,2.3552273270368986,86,2.324662467167941,86,2.2949040859365613
87,2.4189159699697824,87,2.3866469867364475,87,2.355245143303238,87,2.3246800853487923,87,2.294921495848674
88,2.418934196655812,88,2.3866649985339947,88,2.355262957432499,88,2.324697701405302,88,2.294938903673361
89,2.41895242114536,89,2.3866830081795296,89,2.3552807694248377,89,2.324715315337633,89,2.2949563094107712
90,2.4189706434386116,90,2.38670101567321,90,2.355298579280411,90,2.324732927145952,90,2.294973713061055
91,2.418988863535751,91,2.3867190210151956,91,2.3553163869993803,91,2.324750536830424,91,2.2949911146243616
92,2.4190070814369644,92,2.3867370242056447,92,2.3553341925819007,92,2.324768144391214,92,2.29500851410084
93,2.419025297142435,93,2.3867550252447165,93,2.3553519960281313,93,2.324785749828487,93,2.295025911490642
94,2.4190435106523482,94,2.3867730241325704,94,2.3553697973382297,94,2.3248033531424093,94,2.295043306793915
95,2.4190617219668913,95,2.386791020869366,95,2.355387596512354,95,2.3248209543331444,95,2.2950607000108105
96,2.4190799310862454,96,2.386809015455261,96,2.3554053935506625,96,2.3248385534008595,96,2.295078091141477
97,2.419098138010598,97,2.3868270078904157,97,2.3554231884533117,97,2.3248561503457186,97,2.2950954801860646
98,2.419116342740134,98,2.386844998174987,98,2.355440981220461,98,2.3248737451678876,98,2.295112867144723
99,2.419134545275037,99,2.386862986309136,99,2.355458771852268,99,2.324891337867531,99,2.2951302520176027
100,2.419152745615493,100,2.386880972293021,100,2.3554765603488903,100,2.324908928444816,100,2.2951476348048523
101,2.4191709437616855,101,2.386898956126801,101,2.3554943467104863,101,2.3249265168999043,101,2.295165015506621
102,2.4191891397138012,102,2.3869169378106347,102,2.3555121309372145,102,2.324944103232964,102,2.2951823941230605
103,2.419207333472024,103,2.386934917344681,103,2.3555299130292315,103,2.32496168744416,103,2.2951997706543192
104,2.41922552503654,104,2.3869528947290988,104,2.3555476929866956,104,2.324979269533656,104,2.2952171451005468
105,2.419243714407532,105,2.386970869964048,105,2.3555654708097653,105,2.32499684950162,105,2.2952345174618936
106,2.419261901585187,106,2.3869888430496866,106,2.355583246498598,106,2.3250144273482145,106,2.2952518877385084
107,2.419280086569688,107,2.3870068139861753,107,2.355601020053352,107,2.3250320030736056,107,2.295269255930542
108,2.4192982693612226,108,2.387024782773671,108,2.355618791474186,108,2.3250495766779595,108,2.295286622038143
109,2.419316449959974,109,2.387042749412333,109,2.355636560761256,109,2.3250671481614416,109,2.295303986061461
110,2.419334628366127,110,2.3870607139023217,110,2.355654327914722,110,2.325084717524214,110,2.295321348000647
