x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x10,w10,x11,w11,x13,w13,x14,w14,x16,w16,x17,w17,x20,w20,x21,w21,x22,w22
5,1.7740995418024064,5,1.7569905098629,5,1.7402205903053283,5,1.7237875721168519,5,1.7076668745994568,5,1.6462468024995593,5,1.6316102969360353,5,1.6031241253471376,5,1.5892560357666017,5,1.5623389129638672,5,1.548768319091797,5,1.5112487045288086,5,1.498996823387146,5,1.4869715149545668
6,1.7741133348464966,6,1.7570041747093201,6,1.7402341320832568,6,1.7238009837818147,6,1.7076801790189744,6,1.6462596193101673,6,1.631622996520996,6,1.6031366420936586,6,1.5892684677124023,6,1.5623510348510743,6,1.548781297607422,6,1.5112603620910645,6,1.4990084186697006,6,1.4869830179858208
7,1.7741271258640288,7,1.757017837586403,7,1.740247671948539,7,1.7238143935942651,7,1.7076934815335274,7,1.6462724342981976,7,1.6316356921386719,7,1.603149156999588,7,1.5892808853149414,7,1.5623631602478028,7,1.5487942553710938,7,1.511272029876709,7,1.4990200122737884,7,1.4869945193052292
8,1.7741409145998954,8,1.7570314982295037,8,1.7402612094746694,8,1.7238278011608124,8,1.7077067817664144,8,1.6462852480782404,8,1.6316483660888672,8,1.6031616701984406,8,1.5892933209228515,8,1.562375283126831,8,1.5488072106933595,8,1.511283680267334,8,1.4990316039776803,8,1.4870060187077523
9,1.7741547015976906,9,1.7570451570034027,9,1.740274745305379,9,1.7238412070298197,9,1.7077200803184511,9,1.6462980589760674,9,1.63166106048584,9,1.6031741809940339,9,1.589305737915039,9,1.5623874014282226,9,1.5488200659179687,9,1.5112953321838378,9,1.4990431941699982,9,1.487017516605854
10,1.774168486664295,10,1.7570588139986991,10,1.7402882792075474,10,1.7238546110582353,10,1.707733376996517,10,1.646310868326823,10,1.63167375,10,1.6031866900062561,10,1.589318158569336,10,1.5623995203399659,10,1.548833055419922,10,1.5113069869995117,10,1.4990547827792169,10,1.4870290129518509
11,1.7741822694921494,11,1.757072468702793,11,1.7403018110248776,11,1.7238680128645898,11,1.70774667147398,11,1.6463236771901448,11,1.631686418762207,11,1.6031991973018647,11,1.5893305947875978,11,1.5624116352844237,11,1.54884599609375,11,1.5113186375427246,11,1.499066369524002,11,1.4870405073928832
12,1.774196050212383,12,1.7570861213755609,12,1.7403153407096863,12,1.7238814126610755,12,1.7077599639368057,12,1.6463364809248182,12,1.631699105834961,12,1.6032117027378083,12,1.5893429940795898,12,1.5624237531280518,12,1.5488589038085938,12,1.5113302807617186,12,1.4990779545521737,12,1.487052000119686
13,1.7742098290300368,13,1.757099772171974,13,1.7403288685295315,13,1.7238948106050491,13,1.707773254504204,13,1.646349286058214,13,1.631711801147461,13,1.6032242056560517,13,1.5893554165649413,13,1.5624358658599853,13,1.5488718432617188,13,1.5113419381713868,13,1.4990895379018785,13,1.487063491179943
14,1.774223605761528,14,1.7571134209108354,14,1.7403423943175211,14,1.723908206577301,14,1.7077865430617334,14,1.6463620880126952,14,1.631724455871582,14,1.603236706867218,14,1.5893678381347656,14,1.562447975692749,14,1.548884766845703,14,1.5113535835266114,14,1.4991011195874215,14,1.4870749805879593
15,1.7742373807024956,15,1.757127067847252,15,1.740355918314722,15,1.7239216007351876,15,1.7077998297977446,15,1.6463748871909247,15,1.631737133026123,15,1.6032492063474655,15,1.5893802368164063,15,1.5624600854492188,15,1.5488976794433595,15,1.5113652278137208,15,1.499112699701786,15,1.4870864683794975
16,1.7742511535787584,16,1.7571407127356529,16,1.740369440325101,16,1.7239349928998948,16,1.7078131145620348,16,1.6463876863267688,16,1.6317498080444337,16,1.6032617031812668,16,1.5893926580810547,16,1.5624721949005127,16,1.548910604248047,16,1.5113768800354004,16,1.499124278137684,16,1.487097954468727
17,1.7742649241447448,17,1.7571543554377556,17,1.7403829600811005,17,1.7239483829021454,17,1.7078263971424101,17,1.646400482643975,17,1.631762474822998,17,1.6032741986894607,17,1.5894050738525392,17,1.5624842990112306,17,1.5489235070800782,17,1.5113885119628907,17,1.4991358546757698,17,1.487109438712597
18,1.7742786930203438,18,1.7571679963469504,18,1.7403964781628714,18,1.7239617712402344,18,1.7078396779584883,18,1.6464132768842907,18,1.6317751470947266,18,1.6032866920900346,18,1.5894174743652343,18,1.5624964071655274,18,1.5489364025878904,18,1.5114001512145996,18,1.4991474297189713,18,1.487120921459198
19,1.774292459914684,19,1.757181635353565,19,1.7404099943108027,19,1.723975157663822,19,1.7078529569411278,19,1.6464260696305169,19,1.631787817840576,19,1.6032991832542418,19,1.5894298709106447,19,1.562508507461548,19,1.5489493298339843,19,1.511411798400879,19,1.4991590031695368,19,1.4871324026036261
20,1.7743062246131895,20,1.757195272154808,20,1.740423508307669,20,1.7239885419392587,20,1.7078662337112427,20,1.646438860405816,20,1.6318004734802245,20,1.6033116730546952,20,1.589442287902832,20,1.5625206063079833,20,1.5489622375488281,20,1.511423427886963,20,1.499170574772358,20,1.4871438818860054
21,1.7743199872326851,21,1.757208906877041,21,1.7404370202594335,21,1.7240019242095947,21,1.7078795084691045,21,1.6464516488605077,21,1.6318131459045409,21,1.6033241607666016,21,1.5894546740722657,21,1.5625327093505859,21,1.5489750622558593,21,1.5114350559997558,21,1.4991821446299554,21,1.487155359377861
22,1.7743337478470802,22,1.757222539744377,22,1.7404505302879545,22,1.7240153045988083,22,1.7078927813839913,22,1.6464644361495973,22,1.631825823059082,22,1.603336646256447,22,1.5894670806884765,22,1.562544804763794,22,1.548988028564453,22,1.5114466970825196,22,1.4991937128472328,22,1.4871668353390695
23,1.7743475065565109,23,1.757236170618534,23,1.740464038321707,23,1.724028683040142,23,1.7079060522437095,23,1.6464772214359706,23,1.631838460998535,23,1.603349129767418,23,1.5894794802856447,23,1.562556901245117,23,1.549000938720703,23,1.5114583267211914,23,1.4992052794218063,23,1.4871783095383644
24,1.7743612632894517,24,1.757249799628258,24,1.7404775445646707,24,1.724042059624195,24,1.7079193213033674,24,1.6464900040626527,24,1.631851123352051,24,1.6033616114997864,24,1.589491870727539,24,1.5625689938354492,24,1.5490138073730468,24,1.511469956741333,24,1.499216844420433,24,1.4871897822213174
25,1.774375018026829,25,1.757263426651955,25,1.7404910488314098,25,1.7240554343271255,25,1.7079325883865357,25,1.6465027856614856,25,1.6318637866210939,25,1.6033740911197663,25,1.5895042630004883,25,1.5625810862731935,25,1.5490267126464843,25,1.5114815927886962,25,1.499228407700062,25,1.4872012531566619
26,1.774388770699501,26,1.757277051513195,26,1.7405045509735744,26,1.724068806886673,26,1.7079458533763885,26,1.6465155652893915,26,1.6318764292907715,26,1.6033865689468385,26,1.5895166659545898,26,1.562593174095154,26,1.5490396032714844,26,1.5114932112121582,26,1.4992399691963196,26,1.487212722337246
