x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x7,w7,x8,w8,x10,w10,x11,w11,x12,w12,x13,w13,x14,w14,x16,w16
5,2.417417889986038,5,2.385162692427635,5,2.353780884613991,5,2.323235025439262,5,2.2934870748758316,5,2.2645150195264816,5,2.23628567504406,5,2.181939667043686,5,2.155766544790268,5,2.1307903735351563,5,2.1053536496734617,5,2.081030033245087,5,2.0340935262298583
6,2.41743630961895,6,2.3851809088134766,6,2.3537988835430146,6,2.3232528172302245,6,2.2935046704673767,6,2.2645324048805238,6,2.236302865023613,6,2.181956471452713,6,2.1557831836891177,6,2.1308056604003904,6,2.10536983417511,6,2.081046043639183,6,2.034109190211296
7,2.4174547269248965,7,2.385199122982025,7,2.3538168803215025,7,2.323270606827736,7,2.2935222638368606,7,2.2645497882413865,7,2.2363200527668,7,2.1819732737207413,7,2.155799820995331,7,2.1308209204101565,7,2.1053860169696805,7,2.081062052259445,7,2.0341248524427415
8,2.417473141613007,8,2.3852173347234724,8,2.353834874725342,8,2.3232883939027786,8,2.293539854903221,8,2.2645671691560745,8,2.2363372382974624,8,2.1819900737333295,8,2.155816456270218,8,2.130836154785156,8,2.105402198162079,8,2.081078058667183,8,2.034140512499809
9,2.4174915544462205,9,2.3852355445480344,9,2.3538528671455383,9,2.323306179227829,9,2.2935574440431594,9,2.2645845482873916,9,2.236354421982765,9,2.1820068719959256,9,2.155833089141846,9,2.1308513891601564,9,2.105418377637863,9,2.081094063577652,9,2.0341561709833145
10,2.417509965171814,10,2.385253752236366,10,2.3538708574295044,10,2.323323962492943,10,2.2935750311756133,10,2.264601925439835,10,2.236371603732109,10,2.1820236682939527,10,2.155849720039368,10,2.1308666381835937,10,2.1054345545768736,10,2.081110066709518,10,2.034171827754974
11,2.417528373274803,11,2.385271957473755,11,2.3538888453865052,11,2.3233417432308197,11,2.2935926159095765,11,2.2646193002319333,11,2.236388783173561,11,2.182040462293625,11,2.1558663491725922,11,2.130881826171875,11,2.1054507303524015,11,2.081126067814827,11,2.0341874824237824
12,2.4175467790365217,12,2.3852901601028442,12,2.353906831007004,12,2.323359521727562,12,2.2936101983451844,12,2.264636672821045,12,2.236405960354805,12,2.1820572542381287,12,2.1558829765701297,12,2.130897102050781,12,2.105466904525757,12,2.0811420669984817,12,2.034203135170937
13,2.4175651827287674,13,2.3853083608722687,13,2.353924814605713,13,2.323377298259735,13,2.2936277787685393,13,2.2646540434503555,13,2.2364231356573105,13,2.1820740442228317,13,2.1558996012401583,13,2.1309123767089844,13,2.1054830760288237,13,2.0811580644321444,13,2.034218786149025
14,2.4175835840034483,14,2.3853265592718125,14,2.3539427959537504,14,2.3233950725364685,14,2.293645357131958,14,2.2646714118671416,14,2.2364403087854385,14,2.182090832133293,14,2.155916223974228,14,2.130927537841797,14,2.1054992458534243,14,2.0811740599489212,14,2.034234435322285
15,2.417601983280182,15,2.3853447557020186,15,2.3539607752513887,15,2.3234128449535367,15,2.2936629334115985,15,2.2646887785339356,15,2.236457480044365,15,2.182107618136406,15,2.1559328448677064,15,2.1309428271484374,15,2.1055154142665864,15,2.0811900538277626,15,2.0342500827288625
16,2.4176203803110123,16,2.385362949814797,16,2.3539787524318694,16,2.3234306151151656,16,2.2936805075073243,16,2.2647061429929733,16,2.2364746492195127,16,2.1821244021844866,16,2.155949463005066,16,2.1309580786132813,16,2.1055315797233582,16,2.0812060459589956,16,2.034265728304386
17,2.4176387747621533,17,2.385381141357422,17,2.353996727018356,17,2.323448382782936,17,2.293698079228401,17,2.2647235050821304,17,2.236491816034317,17,2.1821411838698386,17,2.1559660800266265,17,2.1309733178710935,17,2.1055477445411683,17,2.081222035858631,17,2.034281371834278
18,2.4176571672534943,18,2.3853993310070036,18,2.354014699821472,18,2.3234661486196515,18,2.2937156491470336,18,2.2647408653259276,18,2.2365089811205863,18,2.1821579638385775,18,2.155982694749832,18,2.1309885302734375,18,2.1055639068317413,18,2.0812380242133144,18,2.034297013669014
19,2.41767555765152,19,2.3854175185441973,19,2.354032670483589,19,2.323483912477493,19,2.2937332169246676,19,2.2647582237410546,19,2.2365261441874504,19,2.1821747418522834,19,2.1559993070030212,19,2.131003811035156,19,2.105580067281723,19,2.0812540109205244,19,2.034312653849125
20,2.4176939454364774,20,2.385435703554154,20,2.354050638728142,20,2.3235016738653185,20,2.293750782368183,20,2.264775579648018,20,2.2365433049368857,20,2.18219151758194,20,2.1560159178066254,20,2.1310189672851565,20,2.1055962264633177,20,2.081269995458126,20,2.034328291978836
21,2.4177123308849335,21,2.385453886256218,21,2.3540686046552657,21,2.323519432942867,21,2.29376834553957,21,2.264792933447361,21,2.2365604635071756,21,2.182208291134834,21,2.1560325266933438,21,2.1310342553710937,21,2.105612383775711,21,2.081285978047848,21,2.0343439280748368
22,2.4177307142186164,22,2.3854720668387412,22,2.354086568520069,22,2.323537190067768,22,2.293785906779766,22,2.264810285189152,22,2.236577620153427,22,2.182225062866211,22,2.156049132909775,22,2.131049510498047,22,2.1056285386371614,22,2.081301958940029,22,2.0343595625114443
23,2.4177490952301026,23,2.3854902451395987,23,2.354104530205727,23,2.323554944946766,23,2.293803465721607,23,2.2648276348376277,23,2.2365947746491432,23,2.1822418324851993,23,2.156065737161636,23,2.1310646850585937,23,2.1056446918582914,23,2.0813179380083087,23,2.0343751950216293
24,2.4177674742507933,24,2.385508421375752,24,2.3541224899196624,24,2.3235726978707314,24,2.293821022748947,24,2.264844982626438,24,2.236611927266121,24,2.182258600256443,24,2.156082339706421,24,2.1310799511718748,24,2.1056608432769774,24,2.081333915338516,24,2.0343908258700374
25,2.4177858508801457,25,2.3855265953969957,25,2.3541404473614693,25,2.3235904486513137,25,2.2938385775995256,25,2.2648623282790186,25,2.2366290778040887,25,2.1822753659725187,25,2.1560989397239685,25,2.1310952172851563,25,2.105676992511749,25,2.081349890885353,25,2.0344064548802376
26,2.417804225125313,26,2.3855447669911385,26,2.3541584024453166,26,2.3236081970548628,26,2.2938561301279066,26,2.264879671692848,26,2.2366462261176108,26,2.182292129490375,26,2.156115537958145,26,2.1311103869628907,26,2.105693140411377,26,2.08136586442709,26,2.0344220818662646
27,2.417822597234249,27,2.385562936348915,27,2.354176355392933,27,2.323625943403244,27,2.29387368060112,27,2.2648970129728316,27,2.23666337233305,27,2.1823088910675046,27,2.15613213435173,27,2.1311256713867186,27,2.1057092863845823,27,2.0813818361711505,27,2.0344377071118354
28,2.4178409670233725,28,2.385581103527546,28,2.3541943061971664,28,2.323643687553406,28,2.2938912289214133,28,2.2649143521904946,28,2.236680516562462,28,2.1823256505465505,28,2.1561487282657623,28,2.131140930175781,28,2.1057254301071167,28,2.0813978060483933,28,2.0344533304262162
